id,unclaimed
1,10000000000000000000
2,0
3,5000000000000000000
4,8000000000000000000
5,1000000000000000000
6,8000000000000000000
7,14000000000000000000
8,47000000000000000000
9,14000000000000000000
10,29000000000000000000
11,29000000000000000000
12,31000000000000000000
13,2000000000000000000
14,1000000000000000000
15,8000000000000000000
16,30000000000000000000
17,31000000000000000000
18,11000000000000000000
19,3000000000000000000
20,31000000000000000000
21,9000000000000000000
22,29000000000000000000
23,34000000000000000000
24,2000000000000000000
25,2000000000000000000
26,3000000000000000000
27,2000000000000000000
28,2000000000000000000
29,0
30,1000000000000000000
31,2000000000000000000
32,17000000000000000000
33,8000000000000000000
34,6000000000000000000
35,0
36,12000000000000000000
37,0
38,1000000000000000000
39,3000000000000000000
40,1000000000000000000
41,4000000000000000000
42,2000000000000000000
43,30000000000000000000
44,25000000000000000000
45,1000000000000000000
46,11000000000000000000
47,4000000000000000000
48,1000000000000000000
49,0
50,8000000000000000000
51,28000000000000000000
52,29000000000000000000
53,1000000000000000000
54,8000000000000000000
55,5000000000000000000
56,1000000000000000000
57,48000000000000000000
58,2000000000000000000
59,28000000000000000000
60,17000000000000000000
61,29000000000000000000
62,5000000000000000000
63,0
64,6000000000000000000
65,6000000000000000000
66,5000000000000000000
67,4000000000000000000
68,30000000000000000000
69,0
70,18000000000000000000
71,6000000000000000000
72,13000000000000000000
73,5000000000000000000
74,5000000000000000000
75,5000000000000000000
76,29000000000000000000
77,1000000000000000000
78,31000000000000000000
79,31000000000000000000
80,31000000000000000000
81,5000000000000000000
82,5000000000000000000
83,8000000000000000000
84,5000000000000000000
85,5000000000000000000
86,9000000000000000000
87,3000000000000000000
88,29000000000000000000
89,3000000000000000000
90,2000000000000000000
91,30000000000000000000
92,1000000000000000000
93,4000000000000000000
94,1000000000000000000
95,25000000000000000000
96,2000000000000000000
97,1000000000000000000
98,22000000000000000000
99,2000000000000000000
100,0
101,1000000000000000000
102,10000000000000000000
103,17000000000000000000
104,8000000000000000000
105,10000000000000000000
106,0
107,2000000000000000000
108,1000000000000000000
109,9000000000000000000
110,0
111,8000000000000000000
112,29000000000000000000
113,9000000000000000000
114,5000000000000000000
115,5000000000000000000
116,1000000000000000000
117,16000000000000000000
118,2000000000000000000
119,7000000000000000000
120,27000000000000000000
121,5000000000000000000
122,5000000000000000000
123,3000000000000000000
124,17000000000000000000
125,0
126,3000000000000000000
127,8000000000000000000
128,2000000000000000000
129,15000000000000000000
130,5000000000000000000
131,6000000000000000000
132,5000000000000000000
133,9000000000000000000
134,16000000000000000000
135,6000000000000000000
136,6000000000000000000
137,29000000000000000000
138,6000000000000000000
139,6000000000000000000
140,9000000000000000000
141,29000000000000000000
142,2000000000000000000
143,9000000000000000000
144,8000000000000000000
145,11000000000000000000
146,4000000000000000000
147,7000000000000000000
148,12000000000000000000
149,1000000000000000000
150,9000000000000000000
151,5000000000000000000
152,5000000000000000000
153,4000000000000000000
154,8000000000000000000
155,9000000000000000000
156,48000000000000000000
157,48000000000000000000
158,9000000000000000000
159,2000000000000000000
160,4000000000000000000
161,0
162,2000000000000000000
163,1000000000000000000
164,3000000000000000000
165,17000000000000000000
166,3000000000000000000
167,10000000000000000000
168,17000000000000000000
169,0
170,6000000000000000000
171,5000000000000000000
172,30000000000000000000
173,1000000000000000000
174,29000000000000000000
175,3000000000000000000
176,29000000000000000000
177,2000000000000000000
178,30000000000000000000
179,0
180,0
181,48000000000000000000
182,48000000000000000000
183,48000000000000000000
184,15000000000000000000
185,3000000000000000000
186,27000000000000000000
187,29000000000000000000
188,6000000000000000000
189,4000000000000000000
190,7000000000000000000
191,10000000000000000000
192,3000000000000000000
193,9000000000000000000
194,16000000000000000000
195,0
196,6000000000000000000
197,48000000000000000000
198,3000000000000000000
199,6000000000000000000
200,22000000000000000000
201,5000000000000000000
202,2000000000000000000
203,17000000000000000000
204,29000000000000000000
205,29000000000000000000
206,3000000000000000000
207,31000000000000000000
208,31000000000000000000
209,29000000000000000000
210,16000000000000000000
211,30000000000000000000
212,3000000000000000000
213,30000000000000000000
214,2000000000000000000
215,16000000000000000000
216,3000000000000000000
217,1000000000000000000
218,5000000000000000000
219,2000000000000000000
220,9000000000000000000
221,2000000000000000000
222,2000000000000000000
223,2000000000000000000
224,2000000000000000000
225,2000000000000000000
226,2000000000000000000
227,21000000000000000000
228,25000000000000000000
229,48000000000000000000
230,8000000000000000000
231,0
232,5000000000000000000
233,2000000000000000000
234,2000000000000000000
235,2000000000000000000
236,48000000000000000000
237,2000000000000000000
238,2000000000000000000
239,2000000000000000000
240,2000000000000000000
241,4000000000000000000
242,6000000000000000000
243,0
244,9000000000000000000
245,1000000000000000000
246,5000000000000000000
247,2000000000000000000
248,2000000000000000000
249,2000000000000000000
250,2000000000000000000
251,2000000000000000000
252,2000000000000000000
253,2000000000000000000
254,2000000000000000000
255,2000000000000000000
256,3000000000000000000
257,2000000000000000000
258,10000000000000000000
259,5000000000000000000
260,1000000000000000000
261,4000000000000000000
262,19000000000000000000
263,4000000000000000000
264,21000000000000000000
265,27000000000000000000
266,4000000000000000000
267,11000000000000000000
268,1000000000000000000
269,16000000000000000000
270,4000000000000000000
271,31000000000000000000
272,2000000000000000000
273,1000000000000000000
274,31000000000000000000
275,29000000000000000000
276,2000000000000000000
277,2000000000000000000
278,2000000000000000000
279,2000000000000000000
280,2000000000000000000
281,2000000000000000000
282,0
283,8000000000000000000
284,27000000000000000000
285,2000000000000000000
286,29000000000000000000
287,2000000000000000000
288,2000000000000000000
289,2000000000000000000
290,29000000000000000000
291,0
292,44000000000000000000
293,4000000000000000000
294,30000000000000000000
295,48000000000000000000
296,48000000000000000000
297,5000000000000000000
298,3000000000000000000
299,2000000000000000000
300,0
301,35000000000000000000
302,2000000000000000000
303,5000000000000000000
304,0
305,4000000000000000000
306,16000000000000000000
307,4000000000000000000
308,3000000000000000000
309,2000000000000000000
310,16000000000000000000
311,45000000000000000000
312,48000000000000000000
313,3000000000000000000
314,11000000000000000000
315,3000000000000000000
316,7000000000000000000
317,3000000000000000000
318,29000000000000000000
319,2000000000000000000
320,0
321,15000000000000000000
322,31000000000000000000
323,3000000000000000000
324,13000000000000000000
325,13000000000000000000
326,3000000000000000000
327,5000000000000000000
328,14000000000000000000
329,2000000000000000000
330,48000000000000000000
331,1000000000000000000
332,0
333,38000000000000000000
334,3000000000000000000
335,2000000000000000000
336,5000000000000000000
337,9000000000000000000
338,5000000000000000000
339,3000000000000000000
340,5000000000000000000
341,24000000000000000000
342,3000000000000000000
343,5000000000000000000
344,8000000000000000000
345,10000000000000000000
346,6000000000000000000
347,12000000000000000000
348,30000000000000000000
349,13000000000000000000
350,10000000000000000000
351,8000000000000000000
352,3000000000000000000
353,1000000000000000000
354,31000000000000000000
355,4000000000000000000
356,13000000000000000000
357,3000000000000000000
358,28000000000000000000
359,8000000000000000000
360,0
361,0
362,45000000000000000000
363,6000000000000000000
364,31000000000000000000
365,6000000000000000000
366,29000000000000000000
367,12000000000000000000
368,8000000000000000000
369,29000000000000000000
370,25000000000000000000
371,2000000000000000000
372,30000000000000000000
373,8000000000000000000
374,17000000000000000000
375,4000000000000000000
376,3000000000000000000
377,0
378,48000000000000000000
379,4000000000000000000
380,3000000000000000000
381,1000000000000000000
382,1000000000000000000
383,2000000000000000000
384,15000000000000000000
385,3000000000000000000
386,3000000000000000000
387,2000000000000000000
388,28000000000000000000
389,17000000000000000000
390,11000000000000000000
391,8000000000000000000
392,8000000000000000000
393,8000000000000000000
394,7000000000000000000
395,1000000000000000000
396,5000000000000000000
397,2000000000000000000
398,0
399,3000000000000000000
400,5000000000000000000
401,17000000000000000000
402,30000000000000000000
403,1000000000000000000
404,6000000000000000000
405,3000000000000000000
406,4000000000000000000
407,3000000000000000000
408,9000000000000000000
409,6000000000000000000
410,30000000000000000000
411,4000000000000000000
412,9000000000000000000
413,18000000000000000000
414,9000000000000000000
415,2000000000000000000
416,4000000000000000000
417,5000000000000000000
418,17000000000000000000
419,5000000000000000000
420,9000000000000000000
421,2000000000000000000
422,5000000000000000000
423,8000000000000000000
424,7000000000000000000
425,29000000000000000000
426,49000000000000000000
427,7000000000000000000
428,35000000000000000000
429,3000000000000000000
430,0
431,1000000000000000000
432,1000000000000000000
433,1000000000000000000
434,29000000000000000000
435,8000000000000000000
436,10000000000000000000
437,3000000000000000000
438,3000000000000000000
439,9000000000000000000
440,34000000000000000000
441,1000000000000000000
442,10000000000000000000
443,7000000000000000000
444,3000000000000000000
445,5000000000000000000
446,0
447,29000000000000000000
448,21000000000000000000
449,11000000000000000000
450,13000000000000000000
451,4000000000000000000
452,6000000000000000000
453,10000000000000000000
454,17000000000000000000
455,17000000000000000000
456,17000000000000000000
457,21000000000000000000
458,8000000000000000000
459,9000000000000000000
460,29000000000000000000
461,2000000000000000000
462,31000000000000000000
463,6000000000000000000
464,5000000000000000000
465,4000000000000000000
466,16000000000000000000
467,5000000000000000000
468,48000000000000000000
469,1000000000000000000
470,48000000000000000000
471,31000000000000000000
472,1000000000000000000
473,16000000000000000000
474,16000000000000000000
475,2000000000000000000
476,5000000000000000000
477,6000000000000000000
478,3000000000000000000
479,30000000000000000000
480,12000000000000000000
481,9000000000000000000
482,18000000000000000000
483,48000000000000000000
484,0
485,6000000000000000000
486,3000000000000000000
487,48000000000000000000
488,46000000000000000000
489,3000000000000000000
490,29000000000000000000
491,7000000000000000000
492,8000000000000000000
493,3000000000000000000
494,3000000000000000000
495,3000000000000000000
496,6000000000000000000
497,3000000000000000000
498,36000000000000000000
499,1000000000000000000
500,6000000000000000000
501,19000000000000000000
502,9000000000000000000
503,8000000000000000000
504,20000000000000000000
505,42000000000000000000
506,15000000000000000000
507,31000000000000000000
508,3000000000000000000
509,48000000000000000000
510,8000000000000000000
511,3000000000000000000
512,3000000000000000000
513,17000000000000000000
514,0
515,26000000000000000000
516,26000000000000000000
517,12000000000000000000
518,19000000000000000000
519,2000000000000000000
520,0
521,2000000000000000000
522,8000000000000000000
523,1000000000000000000
524,29000000000000000000
525,8000000000000000000
526,3000000000000000000
527,13000000000000000000
528,3000000000000000000
529,17000000000000000000
530,17000000000000000000
531,29000000000000000000
532,6000000000000000000
533,2000000000000000000
534,3000000000000000000
535,5000000000000000000
536,2000000000000000000
537,13000000000000000000
538,5000000000000000000
539,2000000000000000000
540,23000000000000000000
541,17000000000000000000
542,15000000000000000000
543,7000000000000000000
544,9000000000000000000
545,7000000000000000000
546,4000000000000000000
547,30000000000000000000
548,3000000000000000000
549,4000000000000000000
550,2000000000000000000
551,23000000000000000000
552,29000000000000000000
553,31000000000000000000
554,29000000000000000000
555,6000000000000000000
556,6000000000000000000
557,9000000000000000000
558,6000000000000000000
559,18000000000000000000
560,3000000000000000000
561,9000000000000000000
562,27000000000000000000
563,0
564,0
565,0
566,6000000000000000000
567,46000000000000000000
568,10000000000000000000
569,1000000000000000000
570,8000000000000000000
571,10000000000000000000
572,45000000000000000000
573,13000000000000000000
574,4000000000000000000
575,31000000000000000000
576,30000000000000000000
577,5000000000000000000
578,14000000000000000000
579,3000000000000000000
580,5000000000000000000
581,3000000000000000000
582,2000000000000000000
583,6000000000000000000
584,2000000000000000000
585,0
586,29000000000000000000
587,17000000000000000000
588,7000000000000000000
589,1000000000000000000
590,12000000000000000000
591,13000000000000000000
592,29000000000000000000
593,2000000000000000000
594,30000000000000000000
595,7000000000000000000
596,0
597,36000000000000000000
598,13000000000000000000
599,9000000000000000000
600,1000000000000000000
601,8000000000000000000
602,7000000000000000000
603,17000000000000000000
604,2000000000000000000
605,1000000000000000000
606,4000000000000000000
607,3000000000000000000
608,3000000000000000000
609,30000000000000000000
610,4000000000000000000
611,5000000000000000000
612,31000000000000000000
613,9000000000000000000
614,19000000000000000000
615,48000000000000000000
616,2000000000000000000
617,5000000000000000000
618,1000000000000000000
619,7000000000000000000
620,7000000000000000000
621,5000000000000000000
622,5000000000000000000
623,3000000000000000000
624,9000000000000000000
625,2000000000000000000
626,4000000000000000000
627,5000000000000000000
628,48000000000000000000
629,29000000000000000000
630,5000000000000000000
631,5000000000000000000
632,5000000000000000000
